Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (¡C),Maximum Temperature (¡C),Minimum Temperature (¡C),Mean Wind Speed (km/h),Max Wind Speed (km/h),DayOfWeek
0,0,0,0,0.6710526315789473,0.7948717948717952,0.46575342465753433,0.2772727272727273,0.21415270018621968,0.16666666666666666
0,0,0,0,0.789473684,0.7606837606837611,0.506849315,0.39090909090909093,0.3482309124767225,0.3333333333333333
0,0,0,0,0.8552631578947372,0.7521367521367521,0.6164383561643834,0.5727272727272728,0.541899441,0.5
0,0,0,0,0.8684210526315792,0.7948717948717952,0.7260273972602738,0.37272727272727274,0.30167597765363124,0.6666666666666666
0,0,0,0,0.6447368421052633,0.666666667,0.6575342465753424,0.34090909090909094,0.260707635,0.8333333333333333
0,0,0,0,0.7236842105263164,0.666666667,0.6438356164383561,0.5727272727272728,0.38175046554934816,1
0,0,0,0,0.763157895,0.726495726,0.6301369863013697,0.6863636363636364,0.38175046554934816,0
0.002849003,0.009463722,0.007352941,0.007009346,0.6710526315789473,0.6324786324786329,0.5890410958904111,0.5363636363636364,0.28119180633147106,0.16666666666666666
0,0,0,0,0.7105263157894739,0.692307692,0.6027397260273974,0.5863636363636364,0.4283054003724393,0.3333333333333333
0,0,0,0,0.7236842105263164,0.700854701,0.5890410958904111,0.5727272727272728,0.38733705772811916,0.5
0.027540360873694204,0.050473186119873815,0.039215686,0.039719626168224303,0.6315789473684212,0.683760684,0.4109589041095889,0.5045454545454545,0.41527001862197394,0.6666666666666666
0,0,0,0,0.6578947368421058,0.692307692,0.452054795,0.4727272727272728,0.30726256983240224,0.8333333333333333
0,0,0,0,0.6447368421052633,0.7094017094017095,0.5205479452054793,0.4545454545454546,0.3202979515828677,1
0,0,0,0,0.6315789473684212,0.6410256410256414,0.547945205,0.4227272727272727,0.38733705772811916,0
0,0,0,0,0.6842105263157898,0.692307692,0.5342465753424657,0.39090909090909093,0.2402234636871508,0.16666666666666666
0,0,0,0,0.6578947368421058,0.700854701,0.5616438356164384,0.4090909090909091,0.3147113594040967,0.3333333333333333
0.076923077,0.138801262,0.11519607843137257,0.10981308411214954,0.5,0.726495726,0.28767123287671215,0.34090909090909094,0.3147113594040967,0.5
0.18138651471984807,0.12302839116719241,0.16421568627450983,0.26869158878504673,0.35526315789473717,0.36752136752136755,0.24657534246575352,0.37272727272727274,0.3147113594040967,0.6666666666666666
0,0,0,0,0.5394736842105265,0.5982905982905988,0.397260274,0.4090909090909091,0.3407821229050279,0.8333333333333333
0,0,0,0,0.6578947368421058,0.692307692,0.49315068493150704,0.49090909090909085,0.38175046554934816,1
0.006647673,0.022082018927444793,0.017156863,0.01635514,0.6184210526315792,0.666666667,0.5753424657534243,0.4409090909090909,0.3538175046554934,0
0,0,0,0,0.5921052631578951,0.5897435897435899,0.5342465753424657,0.4727272727272728,0.3202979515828677,0.16666666666666666
0.000949668,0.003154574,0.00245098,0.002336449,0.6447368421052633,0.6239316239316239,0.5342465753424657,0.6363636363636364,0.6089385474860334,0.3333333333333333
0,0,0,0,0.5921052631578951,0.5982905982905988,0.5616438356164384,0.6545454545454545,0.47486033519553056,0.5
0.001899335,0.006309148,0.004901961,0.004672897,0.5394736842105265,0.5213675213675217,0.452054795,0.5363636363636364,0.3612662942271881,0.6666666666666666
0,0,0,0,0.5657894736842106,0.5384615384615388,0.5342465753424657,0.5863636363636364,0.3687150837988827,0.8333333333333333
0,0,0,0,0.6315789473684212,0.6153846153846159,0.547945205,0.5863636363636364,0.4543761638733706,1
0.002849003,0.006309148,0.004901961,0.004672897,0.48684210526315796,0.36752136752136755,0.5616438356164384,0.4545454545454546,0.3202979515828677,0
0.000949668,0.003154574,0.00245098,0.002336449,0.6184210526315792,0.6581196581196584,0.5890410958904111,0.6045454545454545,0.43575419,0.16666666666666666
0,0,0,0,0.6184210526315792,0.6410256410256414,0.547945205,0.5863636363636364,0.3538175046554934,0.3333333333333333
0,0,0,0,0.5921052631578951,0.6410256410256414,0.47945205479452024,0.4545454545454546,0.3612662942271881,0.5
0,0,0,0,0.6578947368421058,0.6752136752136755,0.5342465753424657,0.6181818181818182,0.4487895716945995,0.6666666666666666
0.000949668,0.003154574,0.004901961,0.004672897,0.6710526315789473,0.7094017094017095,0.5753424657534243,0.5545454545454546,0.3482309124767225,0.8333333333333333
0,0,0,0,0.6973684210526319,0.7521367521367521,0.6438356164383561,0.6045454545454545,0.39478584729981375,1
0,0,0,0,0.736842105,0.7606837606837611,0.5616438356164384,0.5363636363636364,0.3351955307262569,0
0,0,0,0,0.6710526315789473,0.7094017094017095,0.5342465753424657,0.5045454545454545,0.38733705772811916,0.16666666666666666
0,0,0,0,0.6052631578947372,0.700854701,0.4109589041095889,0.5363636363636364,0.38175046554934816,0.3333333333333333
0,0,0,0,0.6578947368421058,0.7606837606837611,0.42465753424657526,0.5227272727272727,0.41527001862197394,0.5
0,0,0,0,0.736842105,0.8290598290598292,0.5616438356164384,0.5227272727272727,0.3538175046554934,0.6666666666666666
0,0,0,0,0.7500000000000004,0.8547008547008552,0.5616438356164384,0.4727272727272728,0.41527001862197394,0.8333333333333333
0,0,0,0,0.7105263157894739,0.7521367521367521,0.5890410958904111,0.6181818181818182,0.536312849,1
0,0,0,0,0.6052631578947372,0.6752136752136755,0.4109589041095889,0.5863636363636364,0.4618249534450651,0
0,0,0,0,0.6842105263157898,0.7863247863247862,0.397260274,0.4727272727272728,0.3351955307262569,0.16666666666666666
0,0,0,0,0.7500000000000004,0.7521367521367521,0.6575342465753424,0.6545454545454545,0.43575419,0.3333333333333333
0,0,0,0,0.7105263157894739,0.8119658119658122,0.6027397260273974,0.7181818181818181,0.5288640595903165,0.5
0,0,0,0,0.6315789473684212,0.7521367521367521,0.5890410958904111,0.5727272727272728,0.37430167597765357,0.6666666666666666
0,0,0,0,0.6710526315789473,0.7863247863247862,0.47945205479452024,0.5545454545454546,0.3482309124767225,0.8333333333333333
0.04368471,0.069400631,0.06127451,0.081775701,0.5394736842105265,0.7777777777777781,0.17808219178082174,0.3590909090909091,0.22718808193668522,1
0.040835708,0.094637224,0.090686275,0.088785047,0.48684210526315796,0.5470085470085473,0.027397260273972268,0.3090909090909091,0.18621973929236496,0
0.06362773,0.18296529968454256,0.16421568627450983,0.15654205607476637,0.6447368421052633,0.7094017094017095,0.547945205,0.4545454545454546,0.28119180633147106,0.16666666666666666
0,0,0,0,0.6710526315789473,0.692307692,0.547945205,0.4227272727272727,0.29422718808193665,0.3333333333333333
0,0,0,0,0.7236842105263164,0.7350427350427355,0.6027397260273974,0.6045454545454545,0.38175046554934816,0.5
