arrivalGateDelayMinutes,departureGateDelayMinutes,arrivalRunwayDelayMinutes,departureRunwayDelayMinutes,scheduledBlockMinutes,blockMinutes,airMinutes,taxiOutMinutes,taxiInMinutes,scheduledAirMinutes,scheduledTaxiOutMinutes,scheduledTaxiInMinutes,DayOfWeek
8.21274,6.0555797,36.91225,21.47527,118.68665,59.551456,75.632256,25.984333,12.765929,933.3457,21.392067,41.945686,3.1046624
28.074097,34.042274,39.178402,22.455921,265.32306,256.29965,225.37276,23.267494,9.689101,939.5571,22.464941,39.595226,3.6324263
21.443935,19.52798,40.937897,22.56349,430.21085,399.27472,369.1421,26.112898,10.5084095,953.62756,22.48169,40.251907,5.9639144
22.01178,29.560402,38.162727,23.11907,132.41817,104.122986,102.410736,16.534727,16.620272,945.3407,22.358252,40.239513,1.0132908
20.550503,20.044127,40.315166,21.893227,400.93726,385.712,346.18085,22.844362,11.163733,952.3719,22.446083,39.22436,1.8778496
32.12413,31.549892,40.520348,22.794615,440.70078,388.50186,376.8225,23.042524,11.439825,940.72845,22.719843,39.180626,2.922205
18.73166,21.566998,40.19148,22.272728,245.56142,254.20354,205.9352,26.983252,9.508164,955.20166,22.420427,40.952106,5.97858
27.381737,28.675943,39.588497,22.057322,380.56128,332.8733,323.1448,23.014042,10.780029,939.3472,22.534697,39.02552,3.404109
6.970006,12.264045,34.33608,19.49449,82.84632,70.183304,52.90556,22.33856,27.525574,944.7181,19.621246,41.654438,4.644489e-25
20.40991,17.56436,39.099316,22.627356,211.18478,109.41114,151.4573,24.93968,11.236635,946.7874,22.31,41.040997,2.0601165
39.098854,46.60282,39.887516,23.047733,340.6653,294.5103,295.08533,22.709631,10.90642,936.4203,22.752981,39.595306,3.0330777
28.328417,31.829578,39.774433,22.158234,384.0146,342.00284,328.86282,23.728199,11.01255,939.9042,22.519762,38.880695,3.3479497
20.338108,21.483162,39.92845,21.624847,209.92012,203.92538,169.42224,24.559986,9.626164,959.4921,22.231766,40.940544,5.991166
24.885742,26.740887,38.9742,22.475384,275.1625,276.87347,232.84357,23.976208,12.395847,940.01624,22.305634,39.46065,0.45848727
26.779537,26.603691,40.32455,23.05303,354.56555,314.516,297.67935,24.17911,10.940698,950.7438,22.660275,39.845528,5.156947
9.948108,20.710402,35.18672,19.205456,211.788,191.462,158.93764,27.162285,25.436195,945.0929,20.297073,39.22904,2.8837518e-25
26.320269,26.878319,39.91921,22.749794,301.74246,260.82883,245.96133,23.903774,11.077058,956.0137,22.40697,40.19024,5.999718
23.328482,23.378983,41.78721,22.53782,405.34644,351.43463,340.31088,26.650732,10.464731,955.525,22.658794,41.028145,5.75017
14.678208,13.624809,40.179955,21.822668,91.9199,107.29054,68.871994,27.403921,9.514915,969.5882,22.023,43.638542,6.0
29.092276,21.364733,40.36991,21.626377,177.41513,134.69946,131.76372,24.015635,8.438871,950.35004,21.996649,41.695744,6.0
29.457323,31.931135,40.18582,22.322168,408.3228,359.47836,348.59317,23.656845,10.649448,941.6053,22.60182,39.044052,3.5129278
25.954365,25.928173,39.376167,22.171377,364.27777,323.97852,307.506,23.312883,11.059624,944.6014,22.478594,39.133324,4.0714083
19.639988,16.916862,40.122116,21.28988,159.23276,156.20074,125.33584,26.917849,8.913278,960.4747,22.048426,41.95834,6.0
23.251686,23.887012,39.033207,21.899506,358.63705,328.00357,305.77103,22.344858,11.270353,943.7535,22.660303,38.859726,1.7547147
32.229607,37.584206,40.700245,22.606234,322.43353,290.74423,286.53134,23.241077,12.420147,937.7559,22.919971,39.89185,1.0095568
26.007292,29.522165,38.788803,21.883106,298.1834,293.8561,255.79378,22.864485,10.483467,933.812,22.39719,39.0561,3.979855
26.184877,28.790546,40.690285,22.925737,422.59097,385.88138,370.1165,25.1002,10.88623,943.675,22.70336,39.442142,4.3394117
24.722828,32.05739,39.63858,23.001514,181.9894,218.01155,154.89806,21.182377,10.932411,938.2253,22.436148,40.31229,4.297241
