arrivalGateDelayMinutes,departureGateDelayMinutes,arrivalRunwayDelayMinutes,departureRunwayDelayMinutes,scheduledBlockMinutes,blockMinutes,airMinutes,taxiOutMinutes,taxiInMinutes,scheduledAirMinutes,scheduledTaxiOutMinutes,scheduledTaxiInMinutes,DayOfWeek
0.0038840815,0.0027297945,0.18802226,0.11767396,0.055718858,0.03775547,0.038476415,0.15375344,0.09819946,0.797421,0.2071285,0.3153811,0.5174437
0.014579481,0.0178414,0.19988693,0.12330989,0.18400967,0.20449123,0.1705227,0.13767748,0.07453155,0.80606,0.22663529,0.29770848,0.6054044
0.01100912,0.01000431,0.20909895,0.1239281,0.32826847,0.32565656,0.29730344,0.1545142,0.08083392,0.82562935,0.22693981,0.30264592,0.9939857
0.011314906,0.015421382,0.19456926,0.12712109,0.06773242,0.07552795,0.062090594,0.097838625,0.12784824,0.81410384,0.22469547,0.30255273,0.16888179
0.010528004,0.010283005,0.20583858,0.12007601,0.30265728,0.31416273,0.27705544,0.13517374,0.08587486,0.82388294,0.22629243,0.29492,0.31297493
0.016760435,0.016495623,0.20691282,0.1252564,0.337446,0.316527,0.30407628,0.1363463,0.08799865,0.8076891,0.23126988,0.29459116,0.48703414
0.009548552,0.011105291,0.20519099,0.122257054,0.1667204,0.20271486,0.153382,0.15966421,0.07313973,0.8278187,0.22582594,0.30791056,0.99643
0.014206643,0.014943814,0.20203403,0.121019095,0.2848305,0.26938415,0.25674146,0.13617776,0.0829233,0.805768,0.22790359,0.29342496,0.5673515
0.0032148657,0.006082098,0.17453445,0.10629017,0.02436248,0.04676551,0.018435238,0.13218082,0.21173519,0.81323797,0.17493175,0.31319126,7.7408153e-26
0.010452295,0.008944039,0.19947286,0.124295145,0.13664462,0.08000944,0.105341546,0.14757207,0.08643565,0.816116,0.22381817,0.3085789,0.34335276
0.020516345,0.024623554,0.20359957,0.12671112,0.2499259,0.23687313,0.23199764,0.13437651,0.083895534,0.8016972,0.2318724,0.29770908,0.50551295
0.014716433,0.01664664,0.2030075,0.12159904,0.28785178,0.27712107,0.2617838,0.14040354,0.084711924,0.8065427,0.22763203,0.29233605,0.5579916
0.010413629,0.011060023,0.2038139,0.118533604,0.13553818,0.16010626,0.12118364,0.14532536,0.07404742,0.8337859,0.22239576,0.30782363,0.99852765
0.012862543,0.013898967,0.19881782,0.123421736,0.19261813,0.22192667,0.17711072,0.14187105,0.09535267,0.80669844,0.22373879,0.29669663,0.07641455
0.013882358,0.013824888,0.2058877,0.12674156,0.2620871,0.25382712,0.23428515,0.14307165,0.08415921,0.82161856,0.23018682,0.29959044,0.85949117
0.0048185824,0.010642765,0.17898808,0.10462906,0.13717236,0.14954408,0.11193794,0.16072358,0.19566303,0.81375927,0.1872195,0.29495516,4.806253e-26
0.013635039,0.013973175,0.2037655,0.12499882,0.21587266,0.2083295,0.18867841,0.14144245,0.08520814,0.828948,0.22558126,0.30218226,0.99995303
0.012023954,0.012083684,0.2135456,0.12378058,0.30651483,0.2851141,0.2718791,0.15769663,0.080497935,0.8282684,0.23015991,0.3084823,0.9583617
0.0073657557,0.006816852,0.20513065,0.11967051,0.032300875,0.07821232,0.03251499,0.16215338,0.07319166,0.84782785,0.21860002,0.32810935,1.0
0.015127772,0.010996076,0.2061252,0.118542396,0.10709986,0.10144022,0.08797506,0.14210434,0.0649144,0.82107097,0.21812089,0.31350183,1.0
0.015324353,0.016701477,0.20516138,0.122541204,0.30911884,0.29193082,0.2791827,0.13998133,0.081918836,0.80890864,0.22912402,0.2935643,0.58548796
0.013437999,0.013460137,0.20092236,0.12167458,0.27058423,0.2618462,0.24295065,0.13794605,0.08507403,0.81307554,0.22688355,0.29423553,0.67856807
0.010037689,0.008594419,0.20482785,0.11660851,0.091192275,0.11966165,0.082306735,0.15927722,0.06856368,0.83515257,0.21906228,0.31547624,1.0
0.011982599,0.012357999,0.19912674,0.1201121,0.26564923,0.26525727,0.24142066,0.1322181,0.08669502,0.8118963,0.23018733,0.2921784,0.29245245
0.016817234,0.01975389,0.20785469,0.12417376,0.2339751,0.23368156,0.22445445,0.13752116,0.09553959,0.80355483,0.23490858,0.2999387,0.16825946
0.013466501,0.0154007375,0.19784714,0.12001785,0.21275888,0.23631874,0.197349,0.13529281,0.08064205,0.7980695,0.22540346,0.2936549,0.66330916
0.013562131,0.015005695,0.20780255,0.12600999,0.3216019,0.31430626,0.2981627,0.1485219,0.083740234,0.8117871,0.23097019,0.29655746,0.7232353
0.012774813,0.016769648,0.20229623,0.12644549,0.111101836,0.17204368,0.108375706,0.12533951,0.08409547,0.80420756,0.22611177,0.30309993,0.71620685
0.012895576,0.01549878,0.19140016,0.1317858,0.06425027,0.060598545,0.054020815,0.092189915,0.12904064,0.81868535,0.22374204,0.30287623,0.5056183
0.01704225,0.018458761,0.21732698,0.12662071,0.50641984,0.48669806,0.46604207,0.16760537,0.071268916,0.8174424,0.23544244,0.30098283,0.47871462
0.016951887,0.017752739,0.21202976,0.12868483,0.38931423,0.37357748,0.35981533,0.14919735,0.089668974,0.8055221,0.23367044,0.29836348,0.49318296
0.014248596,0.01590905,0.2218652,0.12901475,0.55460477,0.54274404,0.5164387,0.17807233,0.07959828,0.8272124,0.23591766,0.30525044,0.4979503
0.007220814,0.008219242,0.20288712,0.1216321,0.090922765,0.14094254,0.083410546,0.16120969,0.0764509,0.8220255,0.22342646,0.31410393,0.8728395
0.018142456,0.0184941,0.2010687,0.1259389,0.25568447,0.24990946,0.23297483,0.1383065,0.0830001,0.80234957,0.23087348,0.29352188,0.6031713
0.0050028544,0.0133702615,0.17964081,0.105042875,0.1307382,0.13199277,0.102993295,0.16753644,0.21879305,0.81532085,0.18406351,0.2993888,2.5762388e-31
0.007855688,0.0090607125,0.19195622,0.12480213,0.12969656,0.15275478,0.11501591,0.1280175,0.09762658,0.82014114,0.21978892,0.29450086,0.33333376
